# Preço da ação **publicado pelas próprias companhias** nos relatórios anuais, usado
# como referência independente para classificar a série do Kabutan: preço puro ou
# total return?
#
# O teste anterior (commit e07d0a4) tentou responder isso pelo comportamento na
# data-ex e ficou inconclusivo — t de -0,74 e -1,11, porque o Kabutan só guarda ~14
# meses de série diária e o ruído mensal engole um provento semestral de ~1,5%. A
# leitura "preço puro" ficou registrada como premissa, não como fato. Depois de a
# premissa oposta ter se revelado errada no INVE-B, ela precisava virar medida.
#
# A referência aqui não tem esse problema de ruído, porque não mede um dia: mede o
# **nível**. Um ajuste por dividendo se acumula para trás, e em 2006 já vale quase
# 2x — não há como confundir com arredondamento. É o mesmo argumento que fechou o
# caso sueco, agora com a companhia como fonte.
#
# `value_jpy` está na escala em que o relatório foi publicado; `split_factor` leva
# à escala pós-desdobramento do Kabutan (Mitsubishi 1:3 em jan/2025, Mitsui 1:2).
# O fator não é premissa nossa: confere com os proventos, em que o relatório traz
# 24 JPY para o exercício de 2006 do 8031 e `jp_dividends` traz 12.
#
# kind = year_end_close: fechamento de 31 de março na Bolsa de Tóquio
# kind = annual_average: média do preço no exercício
ticker,fiscal_year,kind,value_jpy,split_factor,source
8058,2006,annual_average,2042,3,mc_ar2015.pdf
8058,2007,annual_average,2371,3,mc_ar2015.pdf
8058,2008,annual_average,3110,3,mc_ar2015.pdf
8058,2009,annual_average,2299,3,mc_ar2015.pdf
8058,2010,annual_average,1969,3,mc_ar2015.pdf
8031,2006,year_end_close,1702,2,en_ar2015_all.pdf
8031,2007,year_end_close,2200,2,en_ar2015_all.pdf
8031,2008,year_end_close,2020,2,en_ar2015_all.pdf
8031,2009,year_end_close,986,2,en_ar2015_all.pdf
8031,2010,year_end_close,1571,2,en_ar2015_all.pdf
8031,2011,year_end_close,1491,2,en_ar2015_all.pdf
8031,2012,year_end_close,1357,2,en_ar2015_all.pdf
